 name , box_office , budget , profit 
 Seven Samurai ," $346,258.00 "," $125,000,000.00 "," $(124,653,742.00)"
 Léon: The Professional ," $19,569,225.00 "," $115,000,000.00 "," $(95,430,775.00)"
 The Iron Giant ," $23,335,817.00 "," $70,000,000.00 "," $(46,664,183.00)"
 Once Upon a Time in America ," $5,473,337.00 "," $30,000,000.00 "," $(24,526,663.00)"
 The Boat ," $11,487,676.00 "," $32,000,000.00 "," $(20,512,324.00)"
 Barry Lyndon ," $199,632.00 "," $11,000,000.00 "," $(10,800,368.00)"
 Ran ," $4,164,283.00 "," $11,500,000.00 "," $(7,335,717.00)"
 Mary and Max ," $1,740,429.00 "," $8,240,000.00 "," $(6,499,571.00)"
 Metropolis ," $1,349,711.00 "," $6,000,000.00 "," $(4,650,289.00)"
 Dersu Uzala ," $14,480.00 "," $4,000,000.00 "," $(3,985,520.00)"
