 name , box_office , budget , profit 
 Avengers: Endgame ," $2,799,439,100.00 "," $356,000,000.00 "," $2,443,439,100.00 "
 Avengers: Infinity War ," $2,052,415,039.00 "," $321,000,000.00 "," $1,731,415,039.00 "
 Spider-Man: No Way Home ," $1,921,847,111.00 "," $200,000,000.00 "," $1,721,847,111.00 "
 Top Gun: Maverick ," $1,488,732,821.00 "," $170,000,000.00 "," $1,318,732,821.00 "
 Harry Potter and the Deathly Hallows: Part 2 ," $1,342,359,942.00 "," $125,000,000.00 "," $1,217,359,942.00 "
 The Lord of the Rings: The Return of the King ," $1,146,457,748.00 "," $94,000,000.00 "," $1,052,457,748.00 "
 Jurassic Park ," $1,109,802,321.00 "," $63,000,000.00 "," $1,046,802,321.00 "
 Joker ," $1,074,458,282.00 "," $55,000,000.00 "," $1,019,458,282.00 "
 The Lion King ," $968,511,805.00 "," $45,000,000.00 "," $923,511,805.00 "
 Toy Story 3 ," $1,067,316,101.00 "," $200,000,000.00 "," $867,316,101.00 "
